Model,Scenario,Region,Category,Carbon Dioxide Removal|NovelCmltv|PerCapita20202100,Modelled,Preventative,.group
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,R10PAC_OECD,1_PP1990,0.0845840895139155,0.17365921330212006,6.90823175860035,4
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,R10REF_ECON,1_PP1990,0.12606792989783697,0.15455007952263544,5.688163313916895,4
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,R10REST_ASIA,1_PP1990,0.0530461793673035,0.035989879032809466,0,4
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10AFRICA,1_PP1990,0.07337474806949898,0.11045440955661201,0,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10CHINA+,1_PP1990,0.10544554394024752,0.3384150332565073,0.9439592685112186,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10EUROPE,1_PP1990,0.2110323551876973,0.38141107821351383,1.2243028673305298,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10INDIA+,1_PP1990,0.03481385056003245,0.11889558592209915,0,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10LATIN_AM,1_PP1990,0.5216985767310377,0.15979020314906292,0,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10MIDDLE_EAST,1_PP1990,0.44564750837998335,0.28735129970737777,0.610111685119602,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10NORTH_AM,1_PP1990,1.0540015745556763,0.8662265486195087,4.386698705100775,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10PAC_OECD,1_PP1990,0.40533515071190634,0.5211713445382387,2.135805230648551,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10REF_ECON,1_PP1990,1.1534502775552347,0.47816983176260014,1.8556609224520686,5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,R10REST_ASIA,1_PP1990,0.029295755860133294,0.13565401007924255,0,5
