Model,Scenario,Region,Category,Emissions|CO2|Energy and Industrial Processes|GrossCmltv,Emissions|CO2|Energy and Industrial Processes|GrossDebtCmltv,Emissions|CO2|Energy and Industrial Processes|GrossCmltvShare,Emissions|CO2|Energy and Industrial Processes|GrossDebtCmltvShare,Carbon Dioxide Removal|NovelCmltv,Carbon Dioxide Removal|Novel|WorldCmltv,Carbon Dioxide Removal|Novel [p90]|Additional|WorldCmltv,Carbon Dioxide Removal|Novel|FairShare,Carbon Dioxide Removal|Novel [p90]|Additional|FairShare,pop_20202100,difference,preventativegap,.group
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10AFRICA,1_PP1990,86.52179792099997,0,0.05241086901568795,0,34.61145474999999,407.6537852,232.23200292409783,21.365489139866593,0,64655362026,13.2459656101334,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10CHINA+,1_PP1990,368.94169409100004,156.22477455961678,0.22348766747871962,0.2634369316575662,48.940676300000014,407.6537852,232.23200292409783,91.105593593219,61.178486283015275,81408881108,-103.34340357623427,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10EUROPE,1_PP1990,176.70971715300016,94.92300981345889,0.10704250330028414,0.16006569072958435,21.896770900000003,407.6537852,232.23200292409783,43.636281647644324,37.17237595756057,31294933396,-58.91188670520489,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10INDIA+,1_PP1990,206.41417933799997,0,0.12503608080523815,0,61.942587750000015,407.6537852,232.23200292409783,50.9714316268284,0,83123361922,10.971156123171617,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10LATIN_AM,1_PP1990,100.48985478300001,0.7522983864636359,0.06087206626526892,0.0012685771458437259,63.40875149999998,407.6537852,232.23200292409783,24.814728225982105,0.29460421144302384,38166751431,38.299419062574856,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10MIDDLE_EAST,1_PP1990,125.68730342900002,45.86710228495929,0.07613550521646642,0.0773442542902336,30.9403975,407.6537852,232.23200292409783,31.03692688960688,17.961811088491697,30497293364,-18.058340478098575,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10NORTH_AM,1_PP1990,246.83413836800003,193.7267654119184,0.1495206064305041,0.32667536121542345,46.58045004999997,407.6537852,232.23200292409783,60.95264117679446,75.86447344101093,20333661417,-90.2366645678054,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10PAC_OECD,1_PP1990,54.558085094,35.114359577800506,0.03304874286384158,0.05921224191471753,7.80759615,407.6537852,232.23200292409783,13.472445124546509,13.75097753748107,7439172114,-19.41582651202758,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REF_ECON,1_PP1990,111.39741444300009,66.41702463179928,0.06747935707934842,0.11199694304663119,33.41621255,407.6537852,232.23200292409783,27.5082153362588,26.009274405095272,17222890086,-20.10127719135407,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REST_ASIA,1_PP1990,173.28274187899999,0,0.10496660154464078,0,42.744773550000005,407.6537852,232.23200292409783,42.79003243925298,0,72959901093,-0.0452588892529775,-247.59611712409793,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10AFRICA,1_PP1990,48.91681127100001,0,0.036879557168485254,0,1.4245632500000005,28.885764549999994,397.4762064499202,1.0652942050771295,0,64655362026,0.35926904492287104,-398.1371677999201,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10CHINA+,1_PP1990,328.33209914100007,115.72925800961679,0.2475374437928227,0.2345332064478036,6.8454361,28.885764549999994,397.4762064499202,7.150308318708333,93.22136918540893,81408881108,-93.52624140411726,-398.1371677999201,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10EUROPE,1_PP1990,162.32057380300014,80.59427266345887,0.12237737345602527,0.16332977083045727,3.26808615,28.885764549999994,397.4762064499202,3.534963995898165,64.91969771002499,31294933396,-65.18657555592316,-398.1371677999201,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10INDIA+,1_PP1990,110.74987653799998,0,0.08349698798963345,0,2.1505729500000017,28.885764549999994,397.4762064499202,2.4118743357027292,0,83123361922,-0.26130138570272754,-398.1371677999201,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10LATIN_AM,1_PP1990,70.80053563299995,0,0.0533782217931398,0,4.051607950000001,28.885764549999994,397.4762064499202,1.5418707468143147,0,38166751431,2.5097372031856864,-398.1371677999201,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10MIDDLE_EAST,1_PP1990,106.91513277900002,27.247400934959288,0.08060588270267921,0.055218709758891364,0.24209340000000004,28.885764549999994,397.4762064499202,2.328362549094509,21.948123280023328,30497293364,-24.034392429117837,-398.1371677999201,2
