Model,Scenario,Region,Category,Emissions|CO2|Energy and Industrial Processes|GrossCmltv,Emissions|CO2|Energy and Industrial Processes|GrossDebtCmltv,Emissions|CO2|Energy and Industrial Processes|GrossCmltvShare,Emissions|CO2|Energy and Industrial Processes|GrossDebtCmltvShare,Carbon Dioxide Removal|NovelCmltv,Carbon Dioxide Removal|Novel|WorldCmltv,Carbon Dioxide Removal|Novel [p90]|Additional|WorldCmltv,Carbon Dioxide Removal|Novel|FairShare|Resp,Carbon Dioxide Removal|Novel|FairShare|Debt,Carbon Dioxide Removal|Novel [p90]|Additional|FairShare,pop_20202100,difference,preventativegap,.group
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10AFRICA,1_PP1990,86.521797921,0,0.05241086901568797,0,34.61145475,407.6537852,232.2320029240978,21.3654891398666,0,0,64655362026,13.2459656101334,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10CHINA+,1_PP1990,368.94169409100004,156.22477455961678,0.22348766747871962,0.26343693165756626,48.94067630000001,407.6537852,232.2320029240978,91.105593593219,107.3910623516806,61.17848628301528,81408881108,-103.34340357623427,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10EUROPE,1_PP1990,176.709717153,94.92300981345875,0.10704250330028406,0.16006569072958415,21.8967709,407.6537852,232.2320029240978,43.63628164764429,65.25138470656753,37.17237595756052,31294933396,-58.911886705204815,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10INDIA+,1_PP1990,206.414179338,0,0.12503608080523818,0,61.94258775,407.6537852,232.2320029240978,50.971431626828405,0,0,83123361922,10.971156123171596,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10LATIN_AM,1_PP1990,100.489854783,0.7522983864636217,0.060872066265268913,0.0012685771458437025,63.4087515,407.6537852,232.2320029240978,24.8147282259821,0.5171402753213977,0.29460421144301835,38166751431,38.299419062574884,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10MIDDLE_EAST,1_PP1990,125.687303429,45.86710228495927,0.0761355052164664,0.07734425429023362,30.940397500000003,407.6537852,232.2320029240978,31.036926889606878,31.529678024885076,17.961811088491697,30497293364,-18.05834047809857,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10NORTH_AM,1_PP1990,246.834138368,193.7267654119184,0.14952060643050408,0.32667536121542357,46.58045005,407.6537852,232.2320029240978,60.95264117679445,133.1704475310447,75.86447344101094,20333661417,-90.2366645678054,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10PAC_OECD,1_PP1990,54.558085094,35.11435957780051,0.03304874286384158,0.059212241914717564,7.807596150000001,407.6537852,232.2320029240978,13.472445124546509,24.13809454671271,13.750977537481075,7439172114,-19.415826512027582,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REF_ECON,1_PP1990,111.397414443,66.4170246317992,0.06747935707934836,0.11199694304663109,33.416212550000004,407.6537852,232.2320029240978,27.50821533625878,45.65597776378799,26.009274405095248,17222890086,-20.101277191354022,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REST_ASIA,1_PP1990,173.282741879,0,0.1049666015446408,0,42.744773550000005,407.6537852,232.2320029240978,42.79003243925299,0,0,72959901093,-0.0452588892529846,-247.59611712409776,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10AFRICA,1_PP1990,48.916811271,0,0.036879557168485254,0,1.42456325,28.88576455,397.4762064499202,1.0652942050771297,0,0,64655362026,0.3592690449228704,-398.13716779992023,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10CHINA+,1_PP1990,328.332099141,115.72925800961673,0.2475374437928227,0.23453320644780354,6.845436100000001,28.88576455,397.4762064499202,7.150308318708335,6.774670980607795,93.22136918540892,81408881108,-93.52624140411726,-398.13716779992023,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10EUROPE,1_PP1990,162.320573803,80.59427266345872,0.12237737345602517,0.16332977083045702,3.2680861500000002,28.88576455,397.4762064499202,3.534963995898163,4.71790530421404,64.91969771002489,31294933396,-65.18657555592306,-398.13716779992023,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10INDIA+,1_PP1990,110.74987653800001,0,0.0834969879896335,0,2.1505729500000004,28.88576455,397.4762064499202,2.411874335702731,0,0,83123361922,-0.26130138570273065,-398.13716779992023,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10LATIN_AM,1_PP1990,70.800535633,0,0.05337822179313984,0,4.05160795,28.88576455,397.4762064499202,1.5418707468143162,0,0,38166751431,2.5097372031856837,-398.13716779992023,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10MIDDLE_EAST,1_PP1990,106.915132779,27.24740093495926,0.08060588270267921,0.05521870975889132,0.24209340000000001,28.88576455,397.4762064499202,2.3283625490945092,1.5950346488501221,21.94812328002331,30497293364,-24.03439242911782,-398.13716779992023,2
